GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sm-shop,com.salesmanager.shop.store.security,ServicesAuthenticationEntryPoint,27,0,4,0,8,0,6,0,4,0
sm-shop,com.salesmanager.shop.store.security,CustomerServicesImpl,22,19,0,0,4,6,1,2,1,2
sm-shop,com.salesmanager.shop.store.security,PasswordRequest,17,0,0,0,7,0,5,0,5,0
sm-shop,com.salesmanager.shop.store.security,ServicesAuthenticationSuccessHandler,42,8,8,0,13,2,6,1,2,1
sm-shop,com.salesmanager.shop.store.security,AuthenticationRequest,0,26,0,0,0,12,0,6,0,6
sm-shop,com.salesmanager.shop.store.security,AbstractCustomerServices,17,101,2,6,4,26,2,5,0,3
sm-shop,com.salesmanager.shop.store.security,ResetPasswordRequest,23,0,0,0,11,0,6,0,6,0
sm-shop,com.salesmanager.shop.store.security,AuthenticationTokenFilter,54,97,12,10,15,29,8,7,0,4
sm-shop,com.salesmanager.shop.store.security,SocialCustomerServicesImpl,11,3,2,0,4,1,2,1,1,1
sm-shop,com.salesmanager.shop.store.security,JWTTokenUtil,175,144,26,4,31,35,23,13,8,13
sm-shop,com.salesmanager.shop.store.security,AuthenticationResponse,0,15,0,0,0,6,0,3,0,3
sm-shop,com.salesmanager.shop.store.security,RestAuthenticationEntryPoint,12,15,2,2,4,4,4,2,2,2
sm-shop,com.salesmanager.shop.init.data,InitializationLoader,6,53,2,2,3,14,2,3,0,3
sm-shop,com.salesmanager.shop.store.security.customer,JWTCustomerAuthenticationProvider,68,0,4,0,17,0,8,0,6,0
sm-shop,com.salesmanager.shop.store.security.customer,JWTCustomerServicesImpl,0,42,0,0,0,14,0,2,0,2
sm-shop,com.salesmanager.shop.store.security.customer,JWTCustomerAuthenticationManager,94,8,12,0,23,2,9,1,3,1
sm-shop,com.salesmanager.shop.store.controller.error,ShopErrorController,68,7,2,0,17,2,4,2,3,2
sm-shop,com.salesmanager.shop.store.api.v1.system,OptinApi,0,22,0,0,0,4,0,3,0,3
sm-shop,com.salesmanager.shop.store.api.v1.system,ContactApi,19,3,0,0,3,1,1,1,1,1
sm-shop,com.salesmanager.shop.store.api.v1.system,SearchToolsApi,82,7,6,0,17,2,4,2,1,2
sm-shop,com.salesmanager.shop.store.api.v1.system,PublicConfigsApi,6,7,0,0,1,2,1,2,1,2
sm-shop,com.salesmanager.shop.store.api.v1.system,ModulesApi,0,7,0,0,0,2,0,2,0,2
sm-shop,com.salesmanager.shop.store.facade.content,ContentFacadeImpl,1623,7,66,0,407,2,87,2,54,2
sm-shop,com.salesmanager.shop.store.api.v1.payment,PaymentApi,238,7,12,0,60,2,12,2,6,2
sm-shop,com.salesmanager.shop.admin.security,UserServicesImpl,101,69,6,6,23,15,4,6,1,3
sm-shop,com.salesmanager.shop.admin.security,AbstractAuthenticatinSuccessHandler,50,7,2,0,16,2,2,2,1,2
sm-shop,com.salesmanager.shop.admin.security,SecurityDataAccessException,9,0,0,0,4,0,2,0,2,0
sm-shop,com.salesmanager.shop.admin.security,UserAuthenticationSuccessHandler,14,12,0,0,5,3,3,2,3,2
sm-shop,com.salesmanager.shop.populator.shoppingCart,ShoppingCartModelPopulator,377,7,48,0,93,2,35,2,11,2
